Layout 1
Layer -1, , , , , , , , , , Layer 0, , , , , , , , , , Layer +1, 
,  0, 0, 0, 0, 0, 0, 0, 0, 0,,  0, 0, 0, 1, 1, 1, 2, 2, 2,,  0, 0, 0, 0, 0, 0, 0, 0, 0,
,  0, 0, 0, 0, 0, 0, 0, 0, 0,,  0, 0, 0, 1, 1, 1, 2, 2, 2,,  0, 0, 0, 0, 0, 0, 0, 0, 0,
,  0, 0, 0, 0, 0, 0, 0, 0, 0,,  0, 0, 0, 1, 1, 1, 2, 2, 2,,  0, 0, 0, 0, 0, 0, 0, 0, 0,
,  0, 0, 0, 0, 0, 0, 0, 0, 0,,  0, 0, 0, 1, 1, 1, 2, 2, 2,,  0, 0, 0, 0, 0, 0, 0, 0, 0,
, -1,-1,-1, 0, 0, 0, 0, 0, 0,,  3, 3, 3, 1, 1, 1, 2, 2, 2,, 10,10,10, 0, 0, 0, 0, 0, 0,
, -1,-1,-1, 0, 0, 0, 0, 0, 0,,  3, 3, 3, 1, 1, 1, 2, 2, 2,, 10,10,10, 0, 0, 0, 0, 0, 0,
, -1,-1,-1,-1,-1,-1, 0, 0, 0,,  3, 3, 3, 3, 3, 3, 2, 2, 2,, 10,10,10,10,10,10, 0, 0, 0,
, -1,-1,-1,-1,-1,-1, 0, 0, 0,,  3, 3, 3, 3, 3, 3, 2, 2, 2,, 10,10,10,10,10,10, 0, 0, 0,
, -1,-1,-1,-1,-1,-1, 0, 0, 0,,  3, 3, 3, 3, 3, 3, 2, 2, 2,, 10,10,10,10,10,10, 0, 0, 0,
Layout 2
Layer -1, , , , , , , , , , Layer 0, , , , , , , , , , Layer +1, 
,  0, 0, 0, 0, 0, 0, 0, 0, 0,,  1, 1, 1, 1, 1, 1, 1, 0, 0,, 10,10,10,10,10,10,10, 0, 0,
,  0, 0, 0, 0, 0, 0, 0,-1,-1,,  1, 1, 1, 1, 1, 1, 1, 3, 3,, 10,10,10,10,10,10,10, 0, 0,
,  0, 0, 0, 0, 0, 0, 0,-1,-1,,  1, 1, 1, 1, 1, 1, 1, 3, 3,, 10,10,10,10,10,10,10, 0, 0,
,  0, 0, 0, 0, 0, 0, 0,-1,-1,,  1, 1, 1, 1, 1, 1, 1, 3, 3,, 10,10,10,10,10,10,10, 0, 0,
,  0, 0, 0, 0, 0, 0,-1,-1,-1,,  1, 1, 1, 1, 1, 1, 3, 3, 3,, 10,10,10,10,10,10, 0, 0, 0,
,  0, 0, 0, 0, 0, 0,-1,-1,-1,,  1, 1, 1, 1, 1, 1, 3, 3, 3,, 10,10,10,10,10,10, 0, 0, 0,
,  0, 0, 0, 0, 0, 0,-1,-1,-1,,  1, 1, 1, 1, 1, 1, 3, 3, 3,, 10,10,10,10,10,10, 0, 0, 0,
, -1,-1,-1,-1,-1, 0, 0, 0, 0,,  2, 2, 2, 2, 2, 0, 0, 0, 0,,  0, 0, 0, 0, 0, 0, 0, 0, 0,
, -1,-1,-1,-1,-1,-1,-1,-1,-1,,  2, 2, 2, 2, 2, 2, 2, 2, 2,,  0, 0, 0, 0, 0, 0, 0, 0, 0,
Layout 3
Layer -1, , , , , , , , , , Layer 0, , , , , , , , , , Layer +1, 
,  0, 0, 0, 0, 0, 0,-1,-1,-1,,  2, 2, 2, 1, 1, 1, 3, 3, 3,, 10,10,10,10,10,10, 0, 0, 0,
